"Compound"	"Species"	"Concentration"	"Unit"	"BiologicalReplicate"	"TechnicalReplicate"	"Liver integrity (%)"	"Date"	"RET dose (mg/kg bw)"	"DOSEORIGINALUNIT"	"CMAXULIV"	"Response"
"RTS"	"rat"	62.5	"uM"	"3"	"c"	85.8283689766997	2021-09-10	123.026877081238	"mgperkgbw"	62	14.1716310233003
"RTS"	"rat"	88.38	"uM"	"1"	"a"	84.1280569973516	2021-08-27	169.824365246175	"mgperkgbw"	88.7	15.8719430026484
"RTS"	"rat"	88.38	"uM"	"1"	"b"	84.182894843117	2021-08-27	169.824365246175	"mgperkgbw"	88.7	15.817105156883
"RTS"	"rat"	88.38	"uM"	"1"	"c"	78.8700002975697	2021-08-27	169.824365246175	"mgperkgbw"	88.7	21.1299997024303
"RTS"	"rat"	88.38	"uM"	"2"	"a"	73.8315891186559	2021-09-03	169.824365246175	"mgperkgbw"	88.7	26.1684108813441
"RTS"	"rat"	88.38	"uM"	"2"	"b"	73.863931290852	2021-09-03	169.824365246175	"mgperkgbw"	88.7	26.136068709148
"RTS"	"rat"	88.38	"uM"	"2"	"c"	72.0623525137055	2021-09-03	169.824365246175	"mgperkgbw"	88.7	27.9376474862945
"RTS"	"rat"	88.38	"uM"	"3"	"a"	76.2253746482093	2021-09-10	169.824365246175	"mgperkgbw"	88.7	23.7746253517907
"RTS"	"rat"	88.38	"uM"	"3"	"b"	76.3853769339562	2021-09-10	169.824365246175	"mgperkgbw"	88.7	23.6146230660438
"RTS"	"rat"	88.38	"uM"	"3"	"c"	81.0225860369434	2021-09-10	169.824365246175	"mgperkgbw"	88.7	18.9774139630566
"RTS"	"rat"	125	"uM"	"1"	"a"	65.5890392324402	2021-08-27	229.086765276778	"mgperkgbw"	125	34.4109607675598
"RTS"	"rat"	125	"uM"	"1"	"b"	66.8783662572958	2021-08-27	229.086765276778	"mgperkgbw"	125	33.1216337427042
"RTS"	"rat"	125	"uM"	"1"	"c"	63.4006265967803	2021-08-27	229.086765276778	"mgperkgbw"	125	36.5993734032197
"RTS"	"rat"	125	"uM"	"2"	"a"	53.0128130901947	2021-09-03	229.086765276778	"mgperkgbw"	125	46.9871869098053
"RTS"	"rat"	125	"uM"	"2"	"b"	55.289941584447	2021-09-03	229.086765276778	"mgperkgbw"	125	44.710058415553
"RTS"	"rat"	125	"uM"	"2"	"c"	56.1715652413485	2021-09-03	229.086765276778	"mgperkgbw"	125	43.8284347586515
"RTS"	"rat"	125	"uM"	"3"	"a"	66.1552307890113	2021-09-10	229.086765276778	"mgperkgbw"	125	33.8447692109887
"RTS"	"rat"	125	"uM"	"3"	"b"	70.2424320347433	2021-09-10	229.086765276778	"mgperkgbw"	125	29.7575679652567
"RTS"	"rat"	125	"uM"	"3"	"c"	65.3366476663952	2021-09-10	229.086765276778	"mgperkgbw"	125	34.6633523336048
"RTS"	"rat"	176.77	"uM"	"1"	"a"	41.4476341082899	2021-08-27	309.029543251359	"mgperkgbw"	179	58.5523658917101
"RTS"	"rat"	176.77	"uM"	"1"	"b"	43.1654615093586	2021-08-27	309.029543251359	"mgperkgbw"	179	56.8345384906414
"RTS"	"rat"	176.77	"uM"	"1"	"c"	42.5239862437776	2021-08-27	309.029543251359	"mgperkgbw"	179	57.4760137562224
"RTS"	"rat"	176.77	"uM"	"2"	"a"	32.7246882573958	2021-09-03	309.029543251359	"mgperkgbw"	179	67.2753117426042
"RTS"	"rat"	176.77	"uM"	"2"	"b"	33.2241951390913	2021-09-03	309.029543251359	"mgperkgbw"	179	66.7758048609087
"RTS"	"rat"	176.77	"uM"	"2"	"c"	31.4873007063371	2021-09-03	309.029543251359	"mgperkgbw"	179	68.5126992936629
"RTS"	"rat"	176.77	"uM"	"3"	"a"	49.5949942142031	2021-09-10	309.029543251359	"mgperkgbw"	179	50.4050057857969
"RTS"	"rat"	176.77	"uM"	"3"	"b"	52.6750382148316	2021-09-10	309.029543251359	"mgperkgbw"	179	47.3249617851684
"RTS"	"rat"	176.77	"uM"	"3"	"c"	47.5078215403077	2021-09-10	309.029543251359	"mgperkgbw"	179	52.4921784596923
"RTS"	"rat"	250	"uM"	"1"	"a"	19.5749854403394	2021-08-27	407.380277804113	"mgperkgbw"	252	80.4250145596606
"RTS"	"rat"	250	"uM"	"1"	"b"	19.5749854403394	2021-08-27	407.380277804113	"mgperkgbw"	252	80.4250145596606
"RTS"	"rat"	250	"uM"	"1"	"c"	20.9982188327616	2021-08-27	407.380277804113	"mgperkgbw"	252	79.0017811672384
"RTS"	"rat"	250	"uM"	"2"	"a"	18.2964858832408	2021-09-03	407.380277804113	"mgperkgbw"	252	81.7035141167592
"RTS"	"rat"	250	"uM"	"2"	"b"	15.8708229685323	2021-09-03	407.380277804113	"mgperkgbw"	252	84.1291770314677
"RTS"	"rat"	250	"uM"	"2"	"c"	15.813325773517	2021-09-03	407.380277804113	"mgperkgbw"	252	84.186674226483
"RTS"	"rat"	250	"uM"	"3"	"a"	24.6660666580951	2021-09-10	407.380277804113	"mgperkgbw"	252	75.3339333419049
"RTS"	"rat"	250	"uM"	"3"	"b"	26.4132344747782	2021-09-10	407.380277804113	"mgperkgbw"	252	73.5867655252218
"RTS"	"rat"	250	"uM"	"3"	"c"	22.3588908412977	2021-09-10	407.380277804113	"mgperkgbw"	252	77.6411091587023
